id,ticker,company,entry_date,exit_date,entry_price,exit_price,shares,capital_invested,pnl,net_return_pct,benchmark_return_pct,alpha_vs_benchmark,exit_condition
graham-defensive-GRBK-2022-01-03,GRBK,Green Brick Partners,2022-01-03,2022-01-20,29.119090152740476,23.176800762176512,343,9997.835770312373,-2056.142751547256,-0.2056587844394061,-0.06542815565557795,-0.14023062878382814,Stop loss -20%.
graham-defensive-TOL-2022-01-03,TOL,Toll Brothers,2022-01-03,2022-01-26,70.3102378616333,56.113828170776365,142,9994.03783012828,-2033.8423934782868,-0.2035055728273325,-0.0931146232626226,-0.1103909495647099,Stop loss -20%.
graham-defensive-MTH-2022-01-03,MTH,Meritage Homes,2022-01-03,2022-02-04,59.37431362533569,46.37357817077637,168,9984.859573745453,-2201.8892021877127,-0.22052280113958128,-0.06171720354196708,-0.1588055975976142,Stop loss -20%.
graham-defensive-MHO-2022-01-03,MHO,M/I Homes,2022-01-03,2022-02-14,60.77070908355712,48.32162893295288,164,9976.362685993072,-2059.540288133803,-0.206442002256536,-0.0823277790530832,-0.1241142232034528,Stop loss -20%.
graham-defensive-LEN-2022-01-03,LEN,Lennar,2022-01-03,2022-02-17,108.34638206481932,86.38980393218993,92,9977.835017113342,-2037.9209173136296,-0.2042447999809897,-0.08679142716515895,-0.11745337281583076,Stop loss -20%.
graham-defensive-PHM-2022-01-03,PHM,PulteGroup,2022-01-03,2022-02-23,56.14609015274047,44.82512893295288,178,10003.998051234992,-2033.1039741194454,-0.2032291453583859,-0.11905616767387517,-0.08417297768451074,Stop loss -20%.
graham-defensive-TMHC-2022-01-03,TMHC,Taylor Morrison Home,2022-01-03,2022-02-23,33.79375831985473,27.00297068595886,295,9979.127863061503,-2021.2173870559973,-0.2025444923436332,-0.11905616767387517,-0.08348832466975803,Stop loss -20%.
graham-defensive-KBH-2022-01-03,KBH,KB Home,2022-01-03,2022-03-24,43.15311061096191,34.34562106704712,231,9978.336919683334,-2052.4322916619367,-0.20568881449706264,-0.05762460992196658,-0.14806420457509606,Stop loss -20%.
graham-defensive-CTSH-2022-11-03,CTSH,Cognizant Technology Solutions,2022-11-03,2022-11-30,52.01195908355712,62.14778908538818,192,9996.282440187011,1924.1606887031248,0.1924876272970862,0.09683625732107194,0.09565136997601427,P/E x P/B 28.91 > 28.
graham-defensive-INGR-2022-01-03,INGR,Ingredion,2022-01-03,2024-09-26,97.21712274932861,137.3724845123291,102,9926.062666951948,4071.9187598853623,0.410224970011775,0.19781052400121954,0.21241444601055545,P/E x P/B 28.34 > 28.
graham-defensive-VICI-2022-01-03,VICI,VICI Properties Inc.,2022-01-03,2026-06-11,29.97995076370239,28.061910152435303,333,9993.306927917209,-658.0354632370145,-0.06584761860948479,0.5439669033644818,-0.6098145219739666,Cierre del periodo de backtest.
